listening on /dev/input/event3 (type/time/code/value)
/dev/input/event3 2973582.705405 type=0 code=0 value=0
/dev/input/event3 2973582.710538 type=3 code=53 value=177
/dev/input/event3 2973582.710538 type=3 code=54 value=1016
/dev/input/event3 2973582.710538 type=0 code=0 value=0
/dev/input/event3 2973582.716101 type=3 code=53 value=168
/dev/input/event3 2973582.716101 type=3 code=54 value=994
/dev/input/event3 2973582.716101 type=0 code=0 value=0
/dev/input/event3 2973582.721538 type=3 code=53 value=162
/dev/input/event3 2973582.721538 type=3 code=54 value=974
/dev/input/event3 2973582.721538 type=0 code=0 value=0
/dev/input/event3 2973582.726608 type=3 code=53 value=156
/dev/input/event3 2973582.726608 type=3 code=54 value=956
/dev/input/event3 2973582.726608 type=0 code=0 value=0
/dev/input/event3 2973582.732276 type=3 code=53 value=151
/dev/input/event3 2973582.732276 type=3 code=54 value=940
/dev/input/event3 2973582.732276 type=0 code=0 value=0
/dev/input/event3 2973582.737435 type=3 code=53 value=146
/dev/input/event3 2973582.737435 type=3 code=54 value=927
/dev/input/event3 2973582.737435 type=0 code=0 value=0
/dev/input/event3 2973582.742763 type=3 code=53 value=143
/dev/input/event3 2973582.742763 type=3 code=54 value=916
/dev/input/event3 2973582.742763 type=0 code=0 value=0
/dev/input/event3 2973582.748321 type=3 code=53 value=141
/dev/input/event3 2973582.748321 type=3 code=54 value=909
/dev/input/event3 2973582.748321 type=0 code=0 value=0
/dev/input/event3 2973582.753870 type=3 code=53 value=139
/dev/input/event3 2973582.753870 type=3 code=54 value=903
/dev/input/event3 2973582.753870 type=0 code=0 value=0
/dev/input/event3 2973582.759376 type=3 code=54 value=900
/dev/input/event3 2973582.759376 type=0 code=0 value=0
/dev/input/event3 2973582.764740 type=3 code=53 value=138
/dev/input/event3 2973582.764740 type=0 code=0 value=0
/dev/input/event3 2973582.791381 type=3 code=53 value=141
/dev/input/event3 2973582.791381 type=3 code=54 value=908
/dev/input/event3 2973582.791381 type=0 code=0 value=0
/dev/input/event3 2973582.796601 type=3 code=53 value=146
/dev/input/event3 2973582.796601 type=3 code=54 value=921
/dev/input/event3 2973582.796601 type=0 code=0 value=0
/dev/input/event3 2973582.802479 type=3 code=53 value=152
/dev/input/event3 2973582.802479 type=3 code=54 value=935
/dev/input/event3 2973582.802479 type=0 code=0 value=0
/dev/input/event3 2973582.807895 type=3 code=53 value=158
/dev/input/event3 2973582.807895 type=3 code=54 value=950
/dev/input/event3 2973582.807895 type=0 code=0 value=0
/dev/input/event3 2973582.813329 type=3 code=53 value=166
/dev/input/event3 2973582.813329 type=3 code=54 value=970
/dev/input/event3 2973582.813329 type=0 code=0 value=0
/dev/input/event3 2973582.818728 type=3 code=53 value=176
/dev/input/event3 2973582.818728 type=3 code=54 value=993
/dev/input/event3 2973582.818728 type=0 code=0 value=0
/dev/input/event3 2973582.824141 type=3 code=53 value=183
/dev/input/event3 2973582.824141 type=3 code=54 value=1014
/dev/input/event3 2973582.824141 type=0 code=0 value=0
/dev/input/event3 2973582.829440 type=3 code=53 value=191
/dev/input/event3 2973582.829440 type=3 code=54 value=1036
/dev/input/event3 2973582.829440 type=0 code=0 value=0
/dev/input/event3 2973582.834515 type=3 code=53 value=199
/dev/input/event3 2973582.834515 type=3 code=54 value=1061
/dev/input/event3 2973582.834515 type=0 code=0 value=0
/dev/input/event3 2973582.839838 type=3 code=53 value=208
/dev/input/event3 2973582.839838 type=3 code=54 value=1086
/dev/input/event3 2973582.839838 type=0 code=0 value=0
/dev/input/event3 2973582.845327 type=3 code=53 value=217
/dev/input/event3 2973582.845327 type=3 code=54 value=1115
/dev/input/event3 2973582.845327 type=0 code=0 value=0
/dev/input/event3 2973582.850959 type=3 code=53 value=226
/dev/input/event3 2973582.850959 type=3 code=54 value=1143
/dev/input/event3 2973582.850959 type=0 code=0 value=0
/dev/input/event3 2973582.856250 type=3 code=53 value=234
/dev/input/event3 2973582.856250 type=3 code=54 value=1171
/dev/input/event3 2973582.856250 type=0 code=0 value=0
/dev/input/event3 2973582.861800 type=3 code=53 value=242
/dev/input/event3 2973582.861800 type=3 code=54 value=1198
/dev/input/event3 2973582.861800 type=0 code=0 value=0
/dev/input/event3 2973582.866900 type=3 code=53 value=249
/dev/input/event3 2973582.866900 type=3 code=54 value=1223
/dev/input/event3 2973582.866900 type=0 code=0 value=0
/dev/input/event3 2973582.872227 type=3 code=53 value=255
/dev/input/event3 2973582.872227 type=3 code=54 value=1245
/dev/input/event3 2973582.872227 type=0 code=0 value=0
/dev/input/event3 2973582.877787 type=3 code=53 value=262
/dev/input/event3 2973582.877787 type=3 code=54 value=1269
/dev/input/event3 2973582.877787 type=0 code=0 value=0
/dev/input/event3 2973582.883130 type=3 code=53 value=268
/dev/input/event3 2973582.883130 type=3 code=54 value=1292
/dev/input/event3 2973582.883130 type=0 code=0 value=0
/dev/input/event3 2973582.888771 type=3 code=53 value=273
/dev/input/event3 2973582.888771 type=3 code=54 value=1315
/dev/input/event3 2973582.888771 type=0 code=0 value=0
/dev/input/event3 2973582.894023 type=3 code=53 value=278
/dev/input/event3 2973582.894023 type=3 code=54 value=1336
/dev/input/event3 2973582.894023 type=0 code=0 value=0
/dev/input/event3 2973582.899318 type=3 code=53 value=282
/dev/input/event3 2973582.899318 type=3 code=54 value=1354
/dev/input/event3 2973582.899318 type=0 code=0 value=0
/dev/input/event3 2973582.904969 type=3 code=53 value=286
/dev/input/event3 2973582.904969 type=3 code=54 value=1371
/dev/input/event3 2973582.904969 type=0 code=0 value=0
/dev/input/event3 2973582.910090 type=3 code=53 value=288
/dev/input/event3 2973582.910090 type=3 code=54 value=1386
/dev/input/event3 2973582.910090 type=0 code=0 value=0
/dev/input/event3 2973582.915726 type=3 code=53 value=289
/dev/input/event3 2973582.915726 type=3 code=54 value=1398
/dev/input/event3 2973582.915726 type=0 code=0 value=0
/dev/input/event3 2973582.921231 type=3 code=53 value=291
/dev/input/event3 2973582.921231 type=3 code=54 value=1408
/dev/input/event3 2973582.921231 type=0 code=0 value=0
/dev/input/event3 2973582.926471 type=3 code=54 value=1417
/dev/input/event3 2973582.926471 type=0 code=0 value=0
/dev/input/event3 2973582.932003 type=3 code=53 value=292
/dev/input/event3 2973582.932003 type=3 code=54 value=1424
/dev/input/event3 2973582.932003 type=0 code=0 value=0
/dev/input/event3 2973582.937095 type=3 code=53 value=293
/dev/input/event3 2973582.937095 type=3 code=54 value=1429
/dev/input/event3 2973582.937095 type=0 code=0 value=0
/dev/input/event3 2973582.942400 type=3 code=54 value=1432
/dev/input/event3 2973582.942400 type=0 code=0 value=0
/dev/input/event3 2973582.947841 type=3 code=54 value=1434
/dev/input/event3 2973582.947841 type=0 code=0 value=0
/dev/input/event3 2973582.953458 type=3 code=54 value=1435
/dev/input/event3 2973582.953458 type=0 code=0 value=0
/dev/input/event3 2973582.980185 type=3 code=54 value=1434
/dev/input/event3 2973582.980185 type=0 code=0 value=0
/dev/input/event3 2973582.985857 type=3 code=53 value=292
/dev/input/event3 2973582.985857 type=3 code=54 value=1431
/dev/input/event3 2973582.985857 type=0 code=0 value=0
/dev/input/event3 2973582.990985 type=3 code=53 value=290
/dev/input/event3 2973582.990985 type=3 code=54 value=1424
/dev/input/event3 2973582.990985 type=0 code=0 value=0
/dev/input/event3 2973582.996644 type=3 code=53 value=287
/dev/input/event3 2973582.996644 type=3 code=54 value=1414
/dev/input/event3 2973582.996644 type=0 code=0 value=0
/dev/input/event3 2973583.002024 type=3 code=53 value=284
/dev/input/event3 2973583.002024 type=3 code=54 value=1403
/dev/input/event3 2973583.002024 type=0 code=0 value=0
/dev/input/event3 2973583.007485 type=3 code=53 value=279
/dev/input/event3 2973583.007485 type=3 code=54 value=1389
/dev/input/event3 2973583.007485 type=0 code=0 value=0
/dev/input/event3 2973583.012483 type=3 code=53 value=273
/dev/input/event3 2973583.012483 type=3 code=54 value=1371
/dev/input/event3 2973583.012483 type=0 code=0 value=0
/dev/input/event3 2973583.017928 type=3 code=53 value=267
/dev/input/event3 2973583.017928 type=3 code=54 value=1351
/dev/input/event3 2973583.017928 type=0 code=0 value=0
/dev/input/event3 2973583.023173 type=3 code=53 value=260
/dev/input/event3 2973583.023173 type=3 code=54 value=1330
/dev/input/event3 2973583.023173 type=0 code=0 value=0
/dev/input/event3 2973583.028822 type=3 code=53 value=253
/dev/input/event3 2973583.028822 type=3 code=54 value=1307
/dev/input/event3 2973583.028822 type=0 code=0 value=0
/dev/input/event3 2973583.034023 type=3 code=53 value=245
/dev/input/event3 2973583.034023 type=3 code=54 value=1283
/dev/input/event3 2973583.034023 type=0 code=0 value=0
/dev/input/event3 2973583.039606 type=3 code=53 value=238
/dev/input/event3 2973583.039606 type=3 code=54 value=1259
/dev/input/event3 2973583.039606 type=0 code=0 value=0
/dev/input/event3 2973583.045065 type=3 code=53 value=229
/dev/input/event3 2973583.045065 type=3 code=54 value=1231
/dev/input/event3 2973583.045065 type=0 code=0 value=0
/dev/input/event3 2973583.050593 type=3 code=53 value=221
/dev/input/event3 2973583.050593 type=3 code=54 value=1204
/dev/input/event3 2973583.050593 type=0 code=0 value=0
/dev/input/event3 2973583.055631 type=3 code=53 value=214
/dev/input/event3 2973583.055631 type=3 code=54 value=1176
/dev/input/event3 2973583.055631 type=0 code=0 value=0
/dev/input/event3 2973583.061302 type=3 code=53 value=207
/dev/input/event3 2973583.061302 type=3 code=54 value=1146
/dev/input/event3 2973583.061302 type=0 code=0 value=0
/dev/input/event3 2973583.066685 type=3 code=53 value=199
/dev/input/event3 2973583.066685 type=3 code=54 value=1118
/dev/input/event3 2973583.066685 type=0 code=0 value=0
/dev/input/event3 2973583.071733 type=3 code=53 value=192
/dev/input/event3 2973583.071733 type=3 code=54 value=1090
/dev/input/event3 2973583.071733 type=0 code=0 value=0
/dev/input/event3 2973583.077446 type=3 code=53 value=186
/dev/input/event3 2973583.077446 type=3 code=54 value=1063
/dev/input/event3 2973583.077446 type=0 code=0 value=0
/dev/input/event3 2973583.082833 type=3 code=53 value=178
/dev/input/event3 2973583.082833 type=3 code=54 value=1034
/dev/input/event3 2973583.082833 type=0 code=0 value=0
/dev/input/event3 2973583.088257 type=3 code=53 value=170
/dev/input/event3 2973583.088257 type=3 code=54 value=1008
/dev/input/event3 2973583.088257 type=0 code=0 value=0
/dev/input/event3 2973583.093409 type=3 code=53 value=163
/dev/input/event3 2973583.093409 type=3 code=54 value=984
/dev/input/event3 2973583.093409 type=0 code=0 value=0
/dev/input/event3 2973583.098665 type=3 code=53 value=155
/dev/input/event3 2973583.098665 type=3 code=54 value=961
/dev/input/event3 2973583.098665 type=0 code=0 value=0
/dev/input/event3 2973583.104035 type=3 code=53 value=150
/dev/input/event3 2973583.104035 type=3 code=54 value=939
/dev/input/event3 2973583.104035 type=0 code=0 value=0
/dev/input/event3 2973583.109359 type=3 code=53 value=145
/dev/input/event3 2973583.109359 type=3 code=54 value=921
/dev/input/event3 2973583.109359 type=0 code=0 value=0
/dev/input/event3 2973583.115345 type=3 code=53 value=140
