listening on /dev/input/event3 (type/time/code/value)
/dev/input/event3 2972873.613833 type=3 code=54 value=1070
/dev/input/event3 2972873.613833 type=0 code=0 value=0
/dev/input/event3 2972873.630156 type=3 code=54 value=1071
/dev/input/event3 2972873.630156 type=0 code=0 value=0
/dev/input/event3 2972873.651854 type=3 code=54 value=1072
/dev/input/event3 2972873.651854 type=0 code=0 value=0
/dev/input/event3 2972873.667996 type=3 code=54 value=1073
/dev/input/event3 2972873.667996 type=0 code=0 value=0
/dev/input/event3 2972873.705808 type=3 code=54 value=1074
/dev/input/event3 2972873.705808 type=0 code=0 value=0
/dev/input/event3 2972873.727255 type=3 code=54 value=1075
/dev/input/event3 2972873.727255 type=0 code=0 value=0
/dev/input/event3 2972873.743397 type=3 code=54 value=1076
/dev/input/event3 2972873.743397 type=0 code=0 value=0
/dev/input/event3 2972873.754217 type=3 code=54 value=1077
/dev/input/event3 2972873.754217 type=0 code=0 value=0
/dev/input/event3 2972873.765133 type=3 code=54 value=1078
/dev/input/event3 2972873.765133 type=0 code=0 value=0
/dev/input/event3 2972873.775833 type=3 code=54 value=1079
/dev/input/event3 2972873.775833 type=0 code=0 value=0
/dev/input/event3 2972873.781386 type=3 code=54 value=1080
/dev/input/event3 2972873.781386 type=0 code=0 value=0
/dev/input/event3 2972873.792251 type=3 code=54 value=1081
/dev/input/event3 2972873.792251 type=0 code=0 value=0
/dev/input/event3 2972873.797397 type=3 code=54 value=1082
/dev/input/event3 2972873.797397 type=0 code=0 value=0
/dev/input/event3 2972873.802896 type=3 code=54 value=1083
/dev/input/event3 2972873.802896 type=0 code=0 value=0
/dev/input/event3 2972873.813848 type=3 code=54 value=1084
/dev/input/event3 2972873.813848 type=0 code=0 value=0
/dev/input/event3 2972873.819521 type=3 code=54 value=1085
/dev/input/event3 2972873.819521 type=0 code=0 value=0
/dev/input/event3 2972873.830294 type=3 code=54 value=1086
/dev/input/event3 2972873.830294 type=0 code=0 value=0
/dev/input/event3 2972873.835502 type=3 code=53 value=330
/dev/input/event3 2972873.835502 type=3 code=54 value=1087
/dev/input/event3 2972873.835502 type=0 code=0 value=0
/dev/input/event3 2972873.841064 type=3 code=54 value=1088
/dev/input/event3 2972873.841064 type=0 code=0 value=0
/dev/input/event3 2972873.851746 type=3 code=54 value=1089
/dev/input/event3 2972873.851746 type=0 code=0 value=0
/dev/input/event3 2972873.857091 type=3 code=54 value=1090
/dev/input/event3 2972873.857091 type=0 code=0 value=0
/dev/input/event3 2972873.862722 type=3 code=53 value=331
/dev/input/event3 2972873.862722 type=0 code=0 value=0
/dev/input/event3 2972873.868089 type=3 code=54 value=1091
/dev/input/event3 2972873.868089 type=0 code=0 value=0
/dev/input/event3 2972873.873525 type=3 code=54 value=1092
/dev/input/event3 2972873.873525 type=0 code=0 value=0
/dev/input/event3 2972873.884158 type=3 code=53 value=332
/dev/input/event3 2972873.884158 type=3 code=54 value=1093
/dev/input/event3 2972873.884158 type=0 code=0 value=0
/dev/input/event3 2972873.894855 type=3 code=54 value=1094
/dev/input/event3 2972873.894855 type=0 code=0 value=0
/dev/input/event3 2972873.900270 type=3 code=53 value=333
/dev/input/event3 2972873.900270 type=0 code=0 value=0
/dev/input/event3 2972873.905709 type=3 code=54 value=1095
/dev/input/event3 2972873.905709 type=0 code=0 value=0
/dev/input/event3 2972873.910833 type=3 code=54 value=1096
/dev/input/event3 2972873.910833 type=0 code=0 value=0
/dev/input/event3 2972873.916449 type=3 code=53 value=334
/dev/input/event3 2972873.916449 type=0 code=0 value=0
/dev/input/event3 2972873.921868 type=3 code=54 value=1097
/dev/input/event3 2972873.921868 type=0 code=0 value=0
/dev/input/event3 2972873.932608 type=3 code=53 value=335
/dev/input/event3 2972873.932608 type=3 code=54 value=1098
/dev/input/event3 2972873.932608 type=0 code=0 value=0
/dev/input/event3 2972873.943325 type=3 code=53 value=336
/dev/input/event3 2972873.943325 type=0 code=0 value=0
/dev/input/event3 2972873.954139 type=3 code=54 value=1099
/dev/input/event3 2972873.954139 type=0 code=0 value=0
/dev/input/event3 2972873.964816 type=3 code=53 value=337
/dev/input/event3 2972873.964816 type=0 code=0 value=0
/dev/input/event3 2972873.970419 type=3 code=54 value=1100
/dev/input/event3 2972873.970419 type=0 code=0 value=0
/dev/input/event3 2972873.986608 type=3 code=53 value=338
/dev/input/event3 2972873.986608 type=0 code=0 value=0
